facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
481757-3,Lesetlhana Clinic,South East,NA,Clinic,-24.85625,25.856699,25337,34461
199894-7,Ramotswa Station/ Taung Clinic,South East,NA,Clinic,-24.847193999999998,25.824161,20583,36406
568461-8,Otse Clinic,South East,NA,Clinic with Maternity,-25.032015,25.748092,25830,46340
528798-2,Siga Clinic,South East,NA,Clinic,-24.870745,25.872746,21877,32538
256522-4,Botswana Police College,South East,NA,Clinic,-24.82992,25.80516,12023,36570
958721-3,Metsimaswaane,South East,NA,Health Post,-24.8092275,25.7563529,3281,18807
350353-9,Mogobane Health Post,South East,NA,Health Post,-24.595974,25.721624,357,11364
390975-1,Khakhea Clinic,Jwaneng,NA,Clinic with Maternity,-24.699903,23.506825,185,445
757731-5,Tshimologo Clinic,Jwaneng,NA,Clinic,-24.603031,24.72407512,1649,2646
297961-5,Morwamosu Clinic,Mabutsane,NA,Clinic,-24.091272,23.080741,167,447
911481-0,Keng Health Post,Mabutsane,NA,Health Post,-24.597459,23.757622,130,311
475203-6,Khonkhwa Health Post,Mabutsane,NA,Health Post,-24.562685,23.858693,137,426
138941-0,Itholoke Health Post,Mabutsane,NA,Health Post,-24.706725,23.63323,60,260
357636-0,Sekoma Health Post,Mabutsane,NA,Health Post,-24.514169,23.929154,196,450
334207-8,Letlhakane Clinic,Boteti,NA,Clinic,-21.432197,25.59788,6048,8838
828915-9,Tawana Clinic,Boteti,NA,Clinic,-21.390326,25.577182,5785,9657
556891-0,Khumaga  Health  Post,Boteti,NA,Health Post,-20.47328,24.513628,839,1756
682954-3,Mokubilo  Health  Post,Boteti,NA,Health Post,-21.231906,26.429584,960,2161
933411-1,Xhumo Clinic,Boteti,NA,Clinic,-21.169955,24.604759,384,1259
823556-6,Mmatshumo Clinic,Boteti,NA,Clinic,-21.147237,25.66034,449,1162
326326-6,Mopipi Clinic,Boteti,NA,Clinic with Maternity,-21.204146,24.857667,590,1323
490856-2,Motopi Clinic,Boteti,NA,Clinic with Maternity,-20.216337,24.131747,901,1934
474061-9,Kedia Health  Post,Boteti,NA,Health Post,-21.365512,24.732677,556,1271
886790-5,Rakops Health Post,Boteti,NA,Health Post,-21.018855,24.413338,712,1551
885823-5,Mmadikola  Health Post,Boteti,NA,Health Post,-21.038484,24.474126,347,1600
429230-6,Khwee Health Post,Boteti,NA,Health Post,-21.947212,25.445748,257,651
781688-7,Moreomaoto Health Post,Boteti,NA,Health Post,-20.239504,24.25479,406,1271
317664-1,Mosu Health Post,Boteti,NA,Health Post,-21.218411,26.019257,1285,2172
328148-2,Toromoja  Health Post,Boteti,NA,Health Post,-21.069479,24.568981,336,1295
454413-6,Mmea Health Post,Boteti,NA,Health Post,-21.091018,26.329855,429,1323
189831-1,Xere Health  Post,Boteti,NA,Health Post,-21.139186,24.313783,77,352
178647-4,Leporung Health Post,Goodhope,NA,Health Post,-25.757662,24.966176,708,1588
366872-0,Tshwaragano Clinic,Greater Francistown,NA,Clinic,-21.14827,27.495606,72985,124132
739058-6,Tatitown Clinic,Greater Francistown,NA,Clinic,-21.165978,27.496637,86135,124767
457469-5,Botsalano Clinic,Greater Francistown,NA,Clinic,-21.178266,27.500166,87584,125122
743567-0,Masego Clinic,Greater Francistown,NA,Clinic,-21.202318000000002,27.522269,64269,122066
787329-2,Boikhutso Clinic,Greater Francistown,NA,Clinic,-21.189995,27.536999,65148,124616
433002-3,Ntshe Clinic,Greater Francistown,NA,Clinic,-21.134613,27.498906,61677,122092
453145-5,Lapologang Clinic,Greater Francistown,NA,Clinic,-21.183308,27.510603,89914,125353
198322-0,Botshabelo Clinic,Phikwe,NA,Clinic with Maternity,-21.957747,27.869088,32207,53262
228068-3,Sesame Clinic,Phikwe,NA,Clinic with Maternity,-21.985954,27.814061,37378,55987
766051-7,South East,Phikwe,NA,Clinic,-21.984727,27.848142,48386,55789
785994-5,Industrial Clinic,Phikwe,NA,Clinic,-21.970637,27.818105,35557,55076
463123-0,Tapologong Clinic,Phikwe,NA,Clinic with Maternity,-21.981165,27.852403,47963,55441
688812-7,Mabeleapudi Clinic,Serowe,NA,Clinic,-22.21933,26.832395000000002,1292,4320
634422-0,Gudigwa Health Post,Okavango,NA,Health Post,-18.601867,22.912098,173,446
680155-9,Thebephatshwa AirBase,Kweneng West,NA,Primary Hospital,-24.24461,25.33226,1176,2822
535023-6,Ngware Clinic,Kweneng West,NA,Clinic,-23.859501,25.367383,1941,5209
644488-9,Salajwe Clinic,Kweneng West,NA,Clinic with Maternity,-23.691992,24.7195204,231,606
410982-3,Moshaweng Clinic,Kweneng West,NA,Clinic,-24.526995,25.042289,211,606
977674-1,Khudumelapye Clinic,Kweneng West,NA,Clinic,-23.915618,24.947971,568,999
751658-6,Botlhapatlou Clinic,Kweneng West,NA,Clinic,-24.022543,25.490683,1994,5896
741948-4,Malwelwe Health Post,Kweneng West,NA,Health Post,-23.987337,25.250716,5085,7941
956424-6,Dutlwe Health Post,Kweneng West,NA,Health Post,-23.982233,23.92804,188,465
845952-1,Kotolaname Health Post,Kweneng West,NA,Health Post,-24.474619,25.27832,311,906
375911-5,Monwane Health Post,Kweneng West,NA,Health Post,-24.31711,25.212025,253,1096
516649-1,Kaudwane Health Post,Kweneng West,NA,Health Post,-23.382891,24.658482,131,260
396493-9,Sesung Health Post,Kweneng West,NA,Health Post,-24.101739,24.921334,244,1062
171566-3,Botswelelo Clinic,Greater Francistown,NA,Clinic,-21.178887,27.521155,88581,125017
814872-8,Jubilee Clinic,Greater Francistown,NA,Clinic with Maternity,-21.157377,27.510261,90326,124630
992675-9,Sorilatholo Health Post,Kweneng West,NA,Health Post,-23.63505,24.959594,166,462
358673-2,Tubu Health Post,Okavango,NA,Health Post,-19.356665,22.282141,187,566
843454-0,Tlhokomelo Psychological Clinic,Greater Gaborone,NA,Individual practitioner,-24.63541,25.92859,62797,177759
955225-8,EVER DYNAMIC OPTOMETRISTS,South East,NA,Individual practitioner,-24.662002,25.904875,62398,160490
603358-3,Setlhoa Pharmacy,Greater Gaborone,NA,Individual practitioner,-24.59962323312513,25.93899942406313,47033,174700
484650-7,Takatokwane Clinic,Kweneng West,NA,Clinic with Maternity,-24.000543,24.310886,346,703
153050-0,SSKB (Mogoditshane BDF) Clinic,NA,NA,Clinic,-24.6085,25.8631,58428,170928
103328-1,Mahalapye District Hospital,Mahalapye,NA,Clinic,-23.115585,26.839487,15508,20723
295218-2,Shoshong Clinic,Mahalapye,NA,Clinic with Maternity,-23.031175,26.50941,6867,10387
703568-6,Tewane Health Post,Mahalapye,NA,Health Post,-22.852392,26.899175,673,2825
951273-2,Xhosa 1 Clinic,Mahalapye,NA,Clinic,-23.129571,26.83198,14362,20743
910183-3,Taupye Heath Post,Mahalapye,NA,Health Post,-23.135438,26.95954,930,3638
