facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
20/26/1/1/1/0002,Aniyawa Health Clinic,Katsina,Mani,Primary,12.8033820005,7.85586599989,42203,177529
20/27/1/1/1/0024,Kamarawa Health Clinic,Katsina,Mashi,Primary,13.2962630004,8.02050399976,7147,24793
20/27/1/1/1/0019,Gyarta Health Clinic,Katsina,Mashi,Primary,13.1325520002,8.04048000033,10410,53688
20/04/1/1/1/0041,Dadin Sarki Health Clinic,Katsina,Baure,Primary,12.8445240005,8.71674599982,44557,141339
20/26/1/1/1/0040,Nasarawa Health Post,Katsina,Mani,Primary,12.908965,8.037104,13135,117874
20/23/1/1/1/0034,Yardoka Primary Health Center,Katsina,Kusada,Primary,12.496371547,8.04200675394,15778,88222
20/06/1/1/1/0009,Marke Health Clinic,Katsina,Charanchi,Primary,12.6747832322,7.76997814962,69398,170682
20/30/1/1/1/0066,Mahuta Health Clinic,Katsina,Rimi,Primary,12.7859221944,7.71187021735,38892,126494
20/21/1/1/1/0032,Sabon Garin Wayau Health Clinic,Katsina,Katsina,Primary,13.0113812305,7.64836212303,234453,619268
20/14/1/1/1/0047,Bare Bari Health Clinic,Katsina,Funtua,Primary,11.5789182773,7.21118098524,37480,115282
20/19/1/1/1/0039,Masaku Health Clinic,Katsina,Kankara,Primary,11.9590920085,7.37614027654,29820,102454
20/06/1/1/1/0023,Farfaru Primary Health Center,Katsina,Charanchi,Primary,12.4407888317,7.67001437584,29137,107695
20/22/1/1/1/0028,Sabon Gari Rawayau Health Clinic,Katsina,Kurfi,Primary,12.620691,7.551792,25420,119888
20/21/1/1/1/0026,Shinkafi Health Center,Katsina,Katsina,Primary,13.02997,7.64705,158028,568328
20/23/1/1/1/0035,Yashe Primary Health Center,Katsina,Kusada,Primary,12.37286,7.92601,41183,149060
22/03/1/1/1/0059,Aguyaya Primary Health Clinic,Kogi,Ankpa,Primary,7.343872071,7.708129883,18839,106109
22/04/1/1/1/0028,Inigu Tamazhi Primary Health Care,Kogi,Bassa,Primary,7.89033378125,7.06501502998,27175,53714
22/05/1/1/1/0042,Ojikpdala Primary Health Clinic,Kogi,Dekina,Primary,7.45430696496,7.20814334508,24113,90699
23/03/1/1/2/0075,Lafiaganwo Shonga Maternity Clinic,Kwara,Edu,Primary,9.019470214,5.152709961,19398,47871
22/13/1/1/1/0025,Fope Mopa Clinic,Kogi,Mopa-Muro,Primary,8.09707,5.8944,14107,34110
07/02/1/1/1/0028,Olakamonye Health Post,Benue,Apa,Primary,7.604675293,7.73828125,11571,42264
22/02/1/1/1/0031,Staff Primary Health Center,Kogi,Ajaokuta,Primary,7.502878333,6.4766766670000004,16187,51835
22/01/1/1/2/0004,Divine Favour Clinic,Kogi,Idah,Primary,7.11085,6.76035,86215,225018
22/12/1/1/1/0004,Agini Primary Health Center,Kogi,Lokoja,Primary,8.61121,6.325665,2737,15125
22/14/1/2/1/0091,Ogbonicha Eye Hospital,Kogi,Ofu,Secondary,7.24914,7.31028,9850,41262
22/17/1/1/1/0037,Otutu Idiakene Health Post,Kogi,Okene,Primary,7.55299,6.23878,187473,583964
22/11/1/1/1/0013,Chikara Primary Health Center,Kogi,Kogi,Primary,8.38608,6.92853,6855,43720
22/03/1/1/1/0016,Awulu Primary Health Clinic,Kogi,Ankpa,Primary,7.63156,7.61797,10468,42794
09/16/1/1/1/0073,Ogoja Maternity and  Child Health Clinic,Cross River,Ogoja,Primary,6.65314,8.795026667,61531,179287
23/08/1/1/1/0020,Zarumi Health Center,Kwara,Ilorin West,Primary,8.50970459,4.537292481,379010,835408
23/06/1/1/1/0013,Iponrin Comprehensive Health Center,Kwara,Ilorin East,Primary,8.643127441,4.856872558,19063,47710
23/07/1/1/1/0014,Joromo Osin Clinic,Kwara,Ilorin South,Primary,8.42704,4.75675,27418,124461
23/13/1/1/1/0006,Eleshinfunfun Primary Health Care Center,Kwara,Offa,Primary,8.14515,4.69803,117868,203345
23/04/1/1/1/0012,Osi R Comprehensive Health Center,Kwara,Ekiti,Primary,8.07624,5.23105,25480,92998
05/03/1/1/1/0011,Dambar Primary Health Clinic,Bauchi,Bogoro,Primary,9.555643333,9.46523,16447,45940
16/11/1/1/1/0004,Amaukwu Orodo Primary Health Center,Imo,Mbaitoli,Primary,5.63135,7.04698,194266,790784
02/15/1/1/1/0031,Nduku Primary Health Clinic,Adamawa,Mubi South,Primary,10.15094097,13.22151503,13379,59699
18/08/1/1/1/0053,Bishini Primary Health Center,Kaduna,Kachia,Primary,9.63866,7.39801,7050,62165
18/08/1/1/1/0029,Kufai Gidan Tagwai Health Clinic,Kaduna,Kachia,Primary,9.701904,8.028503,9724,37187
18/05/1/1/1/0004,Zage Zagi Health Clinic,Kaduna,Ikara,Primary,11.1905312,8.2409179,66252,132004
04/16/1/1/1/0005,Atani 1 Primary Health Center,Anambra,Ogbaru,Primary,6.026096667,6.74918,129217,579549
04/13/1/1/1/0004,Abba Primary Health Center,Anambra,Njikoka,Primary,6.201618333,6.947466667,198983,637051
04/10/1/2/2/0065,Mater Christi Nkpor Hospital,Anambra,Idemili North,Secondary,6.1472433,6.8269483,342803,1136449
04/10/1/1/1/0028,Nkwo Obosi Health Post,Anambra,Idemili North,Primary,6.115366,6.829034,510571,1323148
04/13/1/1/1/0023,Oliobi Abagana Health Post,Anambra,Njikoka,Primary,6.187444,6.98497,208064,693470
04/03/1/1/1/0022,Umuikwu Primary Health Center,Anambra,Anambra West,Primary,6.298341667,6.763546667,33526,156734
04/12/1/1/2/0076,Chizoba Umuofor Okija Health Post,Anambra,Ihiala,Primary,5.900771667,6.84059,158068,560201
09/08/1/1/1/0047,Eyo Lane Health Post,Cross River,Calabar South,Primary,4.9623,8.3180333,194338,454469
28/11/1/1/1/0006,Araromi Primary Health Clinic,Ondo,Ilaje,Primary,6.33509,4.48909,11258,45107
04/08/1/1/1/0031,Umueze Amawbia Health Post,Anambra,Awka South,Primary,6.22909176213,7.08230037778,137773,357914
04/10/1/2/2/0091,Nationale Awada Hospital,Anambra,Idemili North,Secondary,6.12954,6.80418,445200,1210988
04/10/1/2/2/0092,Divine Mercy Awada Hospital and Maternity,Anambra,Idemili North,Secondary,6.11961,6.80785,487920,1261985
04/17/1/1/2/0020,Egbuna Adazie Hospital Specialist,Anambra,Onitsha North,Secondary,6.1505,6.7887,284798,1006615
29/23/1/1/1/0008,Ayede Health Clinic,Osun,Iwo,Primary,7.72587637349,4.14638420104,16147,137138
04/10/1/1/1/0064,Ugwuagba Health Post,Anambra,Idemili North,Primary,6.11223,6.80176,497296,1243116
09/08/1/1/1/0091,Moore Road Family Health Clinic,Cross River,Calabar South,Primary,4.964270958,8.323109969,200772,457312
09/09/1/1/1/0033,Henshaw Town Primary Health Care Center,Cross River,Calabar South,Primary,4.95216,8.31666,189394,450916
09/08/1/1/2/0016,Faith Foundation Clinic,Cross River,Calabar Municipal,Primary,4.97124,8.33951,213460,457766
09/09/1/1/1/0002,Anderson Primary Health Care Center,Cross River,Calabar South,Primary,4.957665,8.3122517,186907,451015
09/09/1/1/2/0015,Mary Summer Clinic,Cross River,Calabar South,Secondary,4.95591,8.32526,196679,456601
09/01/1/1/1/0017,Anong Letafor Health Post,Ebonyi,Abi,Primary,5.9985767,8.0313867,76543,241362
11/13/1/1/1/0021,Ndufu Amoffia Health Post,Ebonyi,Onicha,Primary,6.048038333,7.992165,65468,226989
25/01/1/1/1/0014,Adde Primary Health Clinic,Nasarawa,Akwanga,Primary,9.09385,8.32733,7274,36543
14/07/1/1/2/0016,Chidimma Ekwuegbe Maternity Home,Enugu,Igbo-Etiti,Primary,6.71392,7.4204,75104,266253
07/03/1/1/2/0011,Inminyi Health Post,Nasarawa,Agatu,Primary,7.9242689,8.0481264,17049,55415
28/15/1/1/1/0007,Kolawole Primary Health Clinic,Ondo,Ondo East,Primary,7.176934,4.988869,49150,129308
27/02/1/1/1/0025,Success Medical Center,Ogun,Abeokuta South,Primary,7.14459,3.33128,352685,634521
14/13/1/1/2/0035,Okpaligbo Health Post,Enugu,Nsukka,Primary,6.909646667,7.366311667,134578,457392
14/13/1/1/2/0039,Otobo Obupka Health Center,Enugu,Nsukka,Primary,6.883558333,7.430598333,174681,560133
34/06/1/1/1/0015,Kogin Wase Primary Health Clinic,Taraba,Ibi,Primary,8.53042,10.09668,10901,27121
26/14/1/1/1/0045,Zoma Primary Health Center,Niger,Magama,Primary,10.56237,5.2611167,2976,12060
21/14/1/1/1/0013,Maikwari Primary Health Clinic,Kebbi,Koko/Besse,Primary,11.35457,4.35205,6225,31782
32/03/1/1/1/0020,Udoda Health Post,Rivers,Ahoada West,Primary,4.976318359,6.499084473,34917,176547
09/13/1/1/1/0112,Okpechi Health Center,Cross River,Obubra,Primary,6.126531667,8.331445,29397,122661
11/11/1/1/1/0030,Enuagu Umunaga Mdg Health Center,Ebonyi,Ohaozara,Primary,6.06279,7.74592,55403,238186
14/10/1/1/2/0004,Agudene Neke Health Center,Enugu,Isi-Uzo,Primary,6.663696289,7.601074219,17965,93631
11/02/1/1/1/0002,Ogubi Health Center,Ebonyi,Afikpo North,Primary,5.97052002,7.876708984,53417,274704
11/09/1/1/1/0010,Akaeze Basic Health Center,Ebonyi,Ivo,Primary,5.918701172,7.69152832,60466,149325
11/12/1/1/1/0029,Ndiagu Idaka Health Clinic,Ebonyi,Ohaukwu,Primary,6.396911621,7.973876953,85493,211722
25/10/1/1/1/0057,Angbashuru Odne Health Post,Nasarawa,Nasarawa Eggon,Primary,8.664306641,8.291870118,11075,42737
27/02/1/1/1/0025,Divine Mercy Clinic,Ogun,Abeokuta South,Primary,7.146301269,3.374511719,297040,573958
14/07/1/1/2/0060,Uwelle Amokofia Health Post,Enugu,Igbo-Etiti,Primary,6.66809082,7.378479004,89895,285554
14/10/1/1/2/0019,Mbu Agudene Health Center,Enugu,Isi-Uzo,Primary,6.698120117,7.601928711,20019,85328
10/05/1/1/1/0006,Isiokolo General Hospital,Delta,Ethiope East,Secondary,5.591308594,5.986877441,39719,222894
09/18/1/1/1/0003,Adeni Health Post,Cross River,Yala,Primary,6.55794835273,8.66526449908,18261,70610
13/06/1/1/1/0005,Ogbontioro Primary Health Clinic,Ekiti,Emure,Primary,7.43713666667,5.45526,80353,170518
14/13/1/1/1/0043,Opiagu Health Clinic,Enugu,Nsukka,Primary,6.7132863194,7.55841116575,18407,94647
29/06/1/1/1/0009,Odebudo Primary Health Center,Osun,Boripe,Primary,7.86121631973,4.64475783208,63214,378093
29/13/1/2/1/0002,Eleyele Oauthc,Osun,Ife Central,Primary,7.49565298573,4.54713783208,113301,373983
14/04/1/2/2/0029,Polyclinic General Hospital,Enugu,Enugu North,Secondary,6.452215,7.50311333333,363085,897630
14/06/1/1/1/0043,Akama Oghe Health Center,Enugu,Ezeagu,Primary,6.44275465273,7.31816783242,34446,157604
25/10/1/1/1/0057,Eshiagbi Health Post,Nasarawa,Nasarawa Eggon,Primary,8.65808436649,8.34672235864,12131,47763
25/10/1/1/1/0057,Ongezi North Health Post,Nasarawa,Nasarawa Eggon,Primary,8.64060257327,8.35879879761,14853,48074
25/10/1/1/1/0004,Angbaku 1 Health Post,Nasarawa,Nasarawa Eggon,Primary,8.65751,8.48304,12844,79543
14/15/1/1/2/0031,Ogbelle Ohulor Health Post,Enugu,Udenu,Primary,6.8732,7.56433,63868,262138
26/14/1/1/1/0029,Mazakari Primary Health Center,Niger,Magama,Primary,10.060302735,4.826904297,3987,13309
25/01/1/1/1/0032,Gudi Primary Health Center,Nasarawa,Akwanga,Primary,8.87543095801,8.26640394107,16987,47902
25/09/1/1/1/0053,Mada Station Town Primary Health Clinic,Nasarawa,Nasarawa Eggon,Primary,8.71315042155,8.30962568293,11768,38911
25/12/1/1/1/0021,Dausu Primary Health Center,Nasarawa,Toto,Primary,7.96789726337,7.09780796081,8736,38740
26/03/1/1/2/0008,Soko Kunke Clinic,Niger,Bida,Primary,9.07989502,6.009887695,304069,351815
26/14/1/1/1/0018,Libale Primary Health Center,Niger,Magama,Primary,10.60009,4.93191,19315,37557
26/14/1/1/1/0044,Yangalu Primary Health Center,Niger,Magama,Primary,10.41736,5.30438,10144,32263
26/14/1/1/1/0028,Matandi Primary Health Center,Niger,Magama,Primary,10.39695,5.33416,16447,43598
26/14/1/1/1/0027,Masamagu Primary Health Center,Niger,Magama,Primary,10.49463,5.15713,23119,38222
26/14/1/1/1/0040,Town Ibeto Clinic,Niger,Magama,Primary,10.5109,5.06285,5178,31296
26/14/1/1/1/0036,Tugan Maje Primary Health Center,Niger,Magama,Primary,10.53072,5.01358,4635,22000
26/08/1/1/1/0060,Mangorota Primary Health Center,Niger,Gbako,Primary,9.145362,6.022632,27095,301421
09/18/1/1/1/0001,Abachor Okpame Health Post,Cross River,Yala,Primary,6.599121094,8.617126465,20505,55301
07/05/1/1/1/0034,Mbashabu Primary Health Clinic,Benue,Gboko,Primary,7.34848441659,9.07205589206,72878,278120
29/09/1/1/1/0006,Egbedi Health Clinic,Osun,Egbedore,Primary,7.79294,4.460001667,97777,503741
07/16/1/1/1/0033,Ukpobi Primary Health Clinic,Benue,Ohimini,Primary,7.311148333,7.91856,13777,63207
