facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
1028,Namatama Health Post,Southern,Livingstone,Health Post,-17.824226,25.886759,79464,159090
4130,Ipusukilo Rural Health Centre,Northern,Luwingu,Health Centre,-10.378908,29.88385,2734,8459
1105,Lusu Mission Health Post,Western,Sesheke,Health Post,-17.2127,24.09247,1576,4366
2879,Pecha Health Post,Northern,Lunte,Health Post,-10.192192,30.285852,1174,4663
4129,Fikonkonta Health Post,Northern,Luwingu,Health Post,-10.459943,30.143689,1605,5893
3427,Mayembe Health Post,Muchinga,Nakonde,Health Post,-9.550752,32.743538,1739,7388
1633,Mwembeshi Rural Health,Lusaka,Chilanga,Health Centre,-15.204461,27.555786,3051,11386
3765,Mulundu  Health Post,Central,Mkushi,Health Post,-13.613961,29.4097721,15408,26508
2213,Fungulwe Rural Health Centre,Copperbelt,Lufwanyama,Health Centre,-13.098084,28.09539,3977,9343
4216,Mutti-Kabelenga Health Services Limited Hospital,Lusaka,Lusaka,1st Level Hospital,-15.4084425,28.2925516,746478,2497096
4292,Optimal Medical and Wellness Centre,Lusaka,Lusaka,General clinic,-15.38407,28.311666,772301,2329826
4417,Nvumabaranda Rural Health Centre,North-Western,Kalumbila,Health Centre,-12.4776,26.407469,913,4421
3622,Kamafumbu Rural Health Post,North-Western,Ikelenge,Health Post,-11.0517,24.05679,1513,5000
2954,Vincent Bulaya Health Post,Northern,Lunte,Health Post,-9.603284,30.550945,909,3386
3457,Albaraka Health Post,Lusaka,Chilanga,Health Post,-15.3762,28.19042,203311,1104885
2221,Allessandras Urban Health Centre,Copperbelt,Luanshya,Health Centre,-13.150921,28.443364,55729,98394
2083,Nyakatokoli Health Post,Eastern,Mambwe,Health Post,-13.618033,32.078172,1881,6522
1195,Mulele Health Post,Western,Sioma,Health Post,-16.626006,23.115026,440,1695
2104,Bwembelelo Health Post,Copperbelt,Mpongwe,Health Post,-13.5251147,28.2279806,3418,14387
1419,Nega Nega Rural Health Centre,Southern,Mazabuka,Health Centre,-15.83524,28.02313,4751,12967
3418,Chilolwa Rural Health Centre,Muchinga,Nakonde,Health Centre,-9.571427,32.624834,2161,8819
3320,Chipundu Health post,Luapula,Milenge,Health Post,-12.23583,29.44194,655,1692
1191,Simooya Health Post,Southern,Pemba,Health Post,-16.65039965,27.18419233,1153,5127
1085,Mukusi Sawmills Rural Health Centre,Western,Sesheke,Health Centre,-17.3165,24.16153,2354,6105
4158,Kabitaka Merrybegg Clinic,North-Western,Solwezi,Health Centre,-12.18929,26.47641,15234,68912
1124,Namwianga Mission Hospital,Southern,Kalomo,1st Level Hospital,-17.06437703,26.48691159,11132,25252
2018,Chikando Rural Health Centre,Eastern,Chipata,Health Centre,-13.8386,32.4592,4633,23119
